index,param,value
836,traffic_density,10
836,side_detector_distance,0
839,map,10
839,traffic_density,10
839,side_detector_distance,0
840,map,10
840,traffic_density,10
840,side_detector_distance,0
843,map,10
843,traffic_density,10
843,side_detector_distance,0
848,map,10
848,traffic_density,10
848,side_detector_distance,0
851,map,10
851,traffic_density,10
851,side_detector_distance,0
853,map,10
853,traffic_density,10
853,side_detector_distance,0
857,map,10
857,traffic_density,10
857,side_detector_distance,0
858,map,10
858,traffic_density,10
858,side_detector_distance,0
861,map,10
861,traffic_density,10
861,side_detector_distance,0
864,map,8
864,traffic_density,10
864,side_detector_distance,0
866,map,10
866,traffic_density,10
866,side_detector_distance,0
867,map,10
867,traffic_density,10
867,side_detector_distance,0
868,map,10
868,traffic_density,10
868,side_detector_distance,0
872,map,10
872,traffic_density,10
872,side_detector_distance,0
878,map,10
878,traffic_density,10
878,side_detector_distance,0
879,map,10
879,traffic_density,10
879,side_detector_distance,0
880,map,10
880,traffic_density,10
880,side_detector_distance,0
881,map,10
881,traffic_density,10
881,side_detector_distance,0
882,map,10
882,traffic_density,10
882,side_detector_distance,0
883,map,10
883,traffic_density,10
883,side_detector_distance,0
887,map,10
887,traffic_density,10
887,side_detector_distance,0
889,map,10
889,traffic_density,10
889,side_detector_distance,0
892,map,10
892,traffic_density,10
892,side_detector_distance,0
893,map,10
893,traffic_density,10
893,side_detector_distance,0
894,map,10
894,traffic_density,10
894,side_detector_distance,0
895,map,10
895,traffic_density,10
895,side_detector_distance,0
899,map,10
899,traffic_density,10
899,side_detector_distance,0
902,map,10
902,traffic_density,10
902,side_detector_distance,0
903,map,10
903,traffic_density,10
903,side_detector_distance,0
904,map,10
904,traffic_density,10
904,side_detector_distance,0
907,map,10
907,traffic_density,10
907,side_detector_distance,0
910,map,10
910,traffic_density,10
910,side_detector_distance,0
917,map,10
917,traffic_density,10
917,side_detector_distance,0
918,map,10
918,traffic_density,10
918,side_detector_distance,0
919,map,10
919,traffic_density,10
919,side_detector_distance,0
920,map,10
920,traffic_density,10
920,side_detector_distance,0
921,map,10
921,traffic_density,10
921,side_detector_distance,0
923,map,10
923,traffic_density,10
923,side_detector_distance,0
924,map,10
924,traffic_density,10
924,side_detector_distance,0
926,map,10
926,traffic_density,10
926,side_detector_distance,0
927,map,10
927,traffic_density,10
927,side_detector_distance,0
928,map,10
928,traffic_density,10
928,side_detector_distance,0
930,map,10
930,traffic_density,10
930,side_detector_distance,0
932,map,10
932,traffic_density,10
932,side_detector_distance,0
933,map,5
933,traffic_density,10
933,side_detector_distance,0
934,map,10
934,traffic_density,10
934,side_detector_distance,0
935,map,10
935,traffic_density,10
935,side_detector_distance,0
936,map,10
936,traffic_density,10
936,side_detector_distance,0
939,map,9
939,traffic_density,10
939,side_detector_distance,0
941,map,10
941,traffic_density,10
941,side_detector_distance,0
943,map,10
943,traffic_density,10
943,side_detector_distance,0
945,map,10
945,traffic_density,10
945,side_detector_distance,0
949,map,10
949,traffic_density,10
